date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:11:53	1611/1611	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22e01836379a08fd6809bc20a9933f25ef%22	https://pxsantos.nicepage.io/robots.txt		(from )
20:11:53	100918/100918	U-----	200	untouched ('OK')	text/html	etag:W/%22d9dd9f68d0e957c3d25217ce9d69fc8f%22	https://pxsantos.nicepage.io/	C:/Users/pjxs/Desktop/project/site/pxsantos.nicepage.io/index.html	(from )
20:11:57	92629/92629	---M-Z	200	added ('OK')	application/javascript	etag:%2245dd4e6dcb5ed31:0%22	http://static.nicepage.com/shared/assets/jquery-1.9.1.min.js	C:/Users/pjxs/Desktop/project/site/static.nicepage.com/shared/assets/jquery-1.9.1.min.js	(from https://pxsantos.nicepage.io/)
20:12:01	1272224/1272224	---M-Z	200	added ('OK')	text/css	etag:W/%227d70a8f0698aa2976b7dccefefb8bf50%22	https://pxsantos.nicepage.io/nicepage.css?version=7d5cf297-a1af-4b01-ba76-1cbf6f4d9658	C:/Users/pjxs/Desktop/project/site/pxsantos.nicepage.io/nicepage4e50.css	(from https://pxsantos.nicepage.io/)
20:12:05	171870/171870	---MCZ	200	added ('OK')	application/javascript	etag:W/%220e3e3053f7d71:0%22	http://capp.nicepage.com/a168c290313721abe1b1640d3eeeb5b484018a85/nicepage.js	C:/Users/pjxs/Desktop/project/site/capp.nicepage.com/a168c290313721abe1b1640d3eeeb5b484018a85/nicepage.js	(from https://pxsantos.nicepage.io/)
20:12:14	76386/76386	---M--	200	added ('OK')	image/png	etag:%224d74fb6968687be849a4dd2684aa178c%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/1a107d84093b5a3a8a75f0be/Designsemnome12.png	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/1a107d84093b5a3a8a75f0be/Designsemnome12.png	(from https://pxsantos.nicepage.io/)
20:12:17	110191/110191	---M--	200	added ('OK')	image/png	etag:%22752eaed8616ab25bf8d39501bdd7ad7b%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/936bfc2153d25722b697dfa5/9ac0090e-6642-454d-9fa8-30e737432c4c7.png	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/936bfc2153d25722b697dfa5/9ac0090e-6642-454d-9fa8-30e737432c4c7.png	(from https://pxsantos.nicepage.io/)
20:12:18	100918/100918	---M-Z	200	added ('OK')	text/html	etag:W/%22d9dd9f68d0e957c3d25217ce9d69fc8f%22	https://pxsantos.nicepage.io/Shopping.html	C:/Users/pjxs/Desktop/project/site/pxsantos.nicepage.io/Shopping.html	(from https://pxsantos.nicepage.io/)
20:12:20	6661/6661	---M--	200	added ('OK')	image/png	etag:%22c6d7115e970d2ff6d84cda3e2cbd173f%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/05397c2c8c185c20b378565e/oie_Ao85RZjrnLoW.png	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/05397c2c8c185c20b378565e/oie_Ao85RZjrnLoW.png	(from https://pxsantos.nicepage.io/)
20:12:21	6165/6165	---M--	200	added ('OK')	image/png	etag:%222097e955d912d8c7f97dab7b641edb78%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/1bc2fea115a256e3b07e4a5b/oie_transparent2.png	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/1bc2fea115a256e3b07e4a5b/oie_transparent2.png	(from https://pxsantos.nicepage.io/)
20:12:23	31241/31241	---M-Z	200	added ('OK')	text/html	etag:W/%22e180e8428b040a0f9a17376649e19558%22	https://pxsantos.nicepage.io/Amin.html	C:/Users/pjxs/Desktop/project/site/pxsantos.nicepage.io/Amin.html	(from https://pxsantos.nicepage.io/)
20:12:23	60031/60031	---M--	200	added ('OK')	image/jpeg	etag:%220295ed530e4d71:0%22	http://capp.nicepage.com/65711fb9a7fcd1551e0947bf1d5a861061cebb39/images/default-image.jpg	C:/Users/pjxs/Desktop/project/site/capp.nicepage.com/65711fb9a7fcd1551e0947bf1d5a861061cebb39/images/default-image.jpg	(from https://pxsantos.nicepage.io/)
20:12:24	115936/115936	---M--	200	added ('OK')	image/jpeg	etag:%2258f3a08d748b17550a2da9c2902d02d7%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/e250b8a90e805239838deb2b/cvv.jpg	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/e250b8a90e805239838deb2b/cvv.jpg	(from https://pxsantos.nicepage.io/)
20:12:25	52370/52370	---M-Z	200	added ('OK')	text/html	etag:W/%22f0c4e478d84e86736bb07667041a4707%22	https://pxsantos.nicepage.io/PIX.html	C:/Users/pjxs/Desktop/project/site/pxsantos.nicepage.io/PIX.html	(from https://pxsantos.nicepage.io/)
20:12:25	5034/5034	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22e01836379a08fd6809bc20a9933f25ef%22	https://pxsantos.nicepage.io/cadastro.php	C:/Users/pjxs/Desktop/project/site/pxsantos.nicepage.io/cadastro.php	(from https://pxsantos.nicepage.io/)
20:12:25	5760/5760	---M--	200	added ('OK')	image/png	etag:%224cceefa801b377e63c3c27b77131c86b%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/266a6ea096f65ae9a79bfab0/stars.png	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/266a6ea096f65ae9a79bfab0/stars.png	(from https://pxsantos.nicepage.io/)
20:12:27	33137/33137	---M--	200	added ('OK')	image/jpeg	etag:%222a74fc379acffa11b67622bc63ff2bc8%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/661e0d91251e5b55a4aebb68/240_F_132122637_WkIORgvZv1OyJ1udv2fOGgTPPgJJJ94g.jpg	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/661e0d91251e5b55a4aebb68/240_F_132122637_WkIORgvZv1OyJ1udv2fOGgTPPgJJJ94g.jpg	(from https://pxsantos.nicepage.io/)
20:12:35	400540/400540	---M--	200	added ('OK')	image/png	etag:%22743563a9c0111a198892f3fb248ae102%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/fe27fafa90085628a66d9e3e/Designsemnome5.png	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/fe27fafa90085628a66d9e3e/Designsemnome5.png	(from https://pxsantos.nicepage.io/)
20:12:37	680/680	---M--	200	added ('OK')	image/png	etag:%2264f8015cff25174364f4bd1b29c84ab6%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/8ad9fa1a62c055cfbc5adb5f/v1.png	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/8ad9fa1a62c055cfbc5adb5f/v1.png	(from https://pxsantos.nicepage.io/Amin.html)
20:12:37	6519/6519	---M--	200	added ('OK')	image/png	etag:%22ea05bf53a3de6d9fae24cf05a97e2cdb%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/7425965cd693599a973ea4ac/2374355.png	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/7425965cd693599a973ea4ac/2374355.png	(from https://pxsantos.nicepage.io/Amin.html)
20:12:39	10792/10792	---M--	200	added ('OK')	image/png	etag:%22e07e980edb144649a194556a19a67800%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/2be250f6879952ebb414f268/Designsemnome.png	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/2be250f6879952ebb414f268/Designsemnome.png	(from https://pxsantos.nicepage.io/Amin.html)
20:12:40	5130/5130	---M--	200	added ('OK')	image/png	etag:%22319ebe5083d3d93c237bd141be5b5843%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/66abb46de86a5c26b6c67dae/720236.png	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/66abb46de86a5c26b6c67dae/720236.png	(from https://pxsantos.nicepage.io/PIX.html)
20:12:40	29874/29874	---M--	200	added ('OK')	image/png	etag:%22384afe29047220541a46bc9ecfa80f6e%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/2ca3921950685e3abb9f37a6/1478189.png	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/2ca3921950685e3abb9f37a6/1478189.png	(from https://pxsantos.nicepage.io/Amin.html)
20:12:53	101663/101663	---M--	200	added ('OK')	image/jpeg	etag:%22eae06bdbe19e248cf24cb2450c55bdd6%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/4a60ce404a235c0ca4eec02c/g46d53682b6740377e618010f51dee92e134a0de510080ea5dbd709805b9a2f45e8fb4f6ff0de37e314b12f15e0b81007d336d91967a8629fd9793a95e33242b9_1280.jpg	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/4a60ce404a235c0ca4eec02c/g46d53682b6740377e618010f51dee92e134a0de510080ea5dbd709805b9a2f45e8fb4f6ff0de37e314b12f15e0b81007d336d91967a8629fd9793a95e33242b9	(from https://pxsantos.nicepage.io/PIX.html)
20:13:35	666981/666981	---M--	200	added ('OK')	image/png	etag:%2202b98e224143d414f4d67efcab50379a%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/49130ca147dd5612ae97cd80/Designsemnome14.png	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/49130ca147dd5612ae97cd80/Designsemnome14.png	(from https://pxsantos.nicepage.io/Amin.html)
20:13:45	898301/898301	---M--	200	added ('OK')	image/png	etag:%220558817a7b337f96a294dc3e879a9340%22	http://images01.nicepage.com/c13033f4a78eec2395c2063b/4e16b7f063505506aa40bdc7/Designsemnome15.png	C:/Users/pjxs/Desktop/project/site/images01.nicepage.com/c13033f4a78eec2395c2063b/4e16b7f063505506aa40bdc7/Designsemnome15.png	(from https://pxsantos.nicepage.io/PIX.html)
